USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
701338,99999,CHEVAK AIRPORT,US,AK,PAVA,61.533,-165.583,22.9,20090210,20201029
701486,26642,KIVALINA AIRPORT,US,AK,PAVL,67.732,-164.548,3.1,20060101,20201030
701486,99999,KIVALINA,US,AK,PAVL,67.733,-164.55,4,19990114,20051231
701620,26508,UMIAT,US,AK,PAUM,69.367,-152.133,85,19460101,20130411
701625,26542,ANAKTUVUK PASS AIRPORT,US,AK,PAKP,68.167,-151.767,640.1,20060101,20201030
701625,99999,ANAKTUVUK PASS,US,AK,PAKP,68.133,-151.733,641,19800911,20051231
701718,26551,AMBLER AIRPORT,US,AK,PAFM,67.1,-157.85,88.1,20060101,20201030
701718,99999,AMBLER,US,AK,PAFM,67.1,-157.85,102,19880105,20051231
701719,490,SHUNGNAK AIRPORT,US,AK,PAGH,66.888,-157.162,62.8,20091210,20201030
701719,99999,SHUNGNAK,US,AK,PAGH,66.888,-157.162,60,19850208,19891011
701730,26535,INDIAN MOUNTAIN LRRS ARPT,US,AK,PAIM,66,-153.7,388.9,20050101,20201030
701730,99999,INDIAN MOUNTAIN AFS,US,AK,PAIM,66,-153.7,389,19510801,20041231
701740,26533,BETTLES AIRPORT,US,AK,PABT,66.918,-151.519,193.2,19450101,20201030
701745,26480,CHANDALAR LAKE AIRPORT,US,AK,PALR,67.511,-148.493,577.6,20060101,20141009
701745,99999,CHANDALAR LAKE,US,AK,PALR,67.5,-148.483,585,19730624,20051231
701746,99999,DIETRICK (PRIVATE),US,AK,,67.683,-149.733,447,19730825,19750729
701747,26467,MERRILL PASS WEST,US,AK,PAER,61.25,-153.82,358,19730825,19750729
701747,26554,MERRILL PASS WEST,US,AK,PAER,61.267,-153.8,356.6,20050101,20140615
701748,99999,PROSPECT CREEK AIRPORT,US,AK,PAPR,66.817,-150.65,335,19730825,20201027
701749,99999,WISEMAN ARPT,US,AK,,67.4,-150.117,360,19940819,20020803
701780,26529,RALPH M CALHOUN MEML ARPT,US,AK,PATA,65.175,-152.107,67.7,19430601,20201030
701790,99999,FIVE MILE CAMP,US,AK,,65.933,-149.833,155,19771103,19850531
701791,99999,MANLEY HOT SPRINGS,US,AK,,65,-150.65,85,19431204,19891013
701793,26524,MANLEY HOT SPRINGS,US,AK,PAML,64.999,-150.638,82.9,20060101,20140501
701793,99999,MANLEY HOT SPRINGS,US,AK,PAML,65,-150.65,81,19900724,20051231
701795,99999,FIVE MILE CAMP,US,AK,,65.933,-149.833,155,19730825,19960625
701940,26413,FORT YUKON AIRPORT,US,AK,PFYU,66.567,-145.267,135.6,19730101,20201030
701940,99999,FORT YUKON,US,AK,PFYU,66.567,-145.267,135,20000102,20031231
701945,46405,ARCTIC VILLAGE AIRPORT,US,AK,PARC,68.115,-145.579,637.6,20060101,20201030
701945,99999,ARCTIC VILLAGE,US,AK,PARC,68.117,-145.567,638,19950708,20051231
701970,99999,CENTRAL,US,AK,,65.483,-144.667,252,20021018,20071231
701975,26422,EAGLE AIRPORT,US,AK,PAEG,64.777,-141.148,276.8,20060101,20201030
701975,99999,EAGLE AIRPORT,US,AK,PAEG,64.783,-141.15,268,19980408,20051231
701995,26628,CAPE DARBY REMOT COM OUTLT,US,AK,PAGL,64.55,-163.007,7.6,20050101,20201030
701995,99999,GOLOVIN AIRPORT,US,AK,PAGL,64.54,-163.04,8,19990114,20041231
702000,26617,NOME AIRPORT,US,AK,PAOM,64.511,-165.44,4,19400101,20201030
702004,99999,WHITE MOUNTAIN,US,AK,PAWM,64.689,-163.413,81.4,20111201,20201029
702005,26647,ST MARY'S AIRPORT,US,AK,PASM,62.062,-163.3,95.1,20060101,20201030
702005,99999,ST MARYS,US,AK,PASM,62.05,-163.3,95,19790408,20051231
702006,26502,KALTAG AIRPORT,US,AK,PAKV,64.327,-158.742,55.2,20060101,20201030
702006,99999,KALTAG AIRPORT,US,AK,PAKV,64.316,-158.73,54,19990114,20051231
702031,26620,MOSES POINT,US,AK,,64.7,-162.05,6.1,19430608,19790128
702035,26704,SAVOONGA AIRPORT,US,AK,PASA,63.687,-170.493,16.8,20060108,20201030
702035,99999,SAVOONGA,US,AK,PASA,63.683,-170.483,16,19870629,20051201
702040,26703,GAMBELL AIRPORT,US,AK,PAGM,63.767,-171.733,8.5,19870603,20201030
702040,99999,GAMBELL (AWOS),US,AK,PAGM,63.767,-171.733,8,20000101,20031231
702060,26632,NORTHEAST CAPE,US,AK,KOHC,63.317,-168.967,9.1,19520729,19690819
